Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Astana,PM2.5 - Principal,2024-04-01 12:00 AM,2024,04,01,00,11.3,47,Good,13.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 01:00 AM,2024,04,01,01,10.7,45,Good,10.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 02:00 AM,2024,04,01,02,9.4,39,Good,8.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 03:00 AM,2024,04,01,03,10.2,43,Good,11.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 04:00 AM,2024,04,01,04,10.5,44,Good,11.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 05:00 AM,2024,04,01,05,12.0,50,Good,14.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 06:00 AM,2024,04,01,06,10.7,45,Good,9.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 07:00 AM,2024,04,01,07,9.5,40,Good,8.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 08:00 AM,2024,04,01,08,9.7,40,Good,10.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 09:00 AM,2024,04,01,09,9.4,39,Good,9.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 10:00 AM,2024,04,01,10,13.6,54,Moderate,18.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 11:00 AM,2024,04,01,11,12.3,51,Moderate,11.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 12:00 PM,2024,04,01,12,13.1,53,Moderate,14.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 01:00 PM,2024,04,01,13,11.5,48,Good,10.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-04-01 02:00 PM,2024,04,01,14,10.7,45,Good,10.0,UG/M3,1 Hr,Valid
