Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Astana,PM2.5 - Principal,2024-01-01 01:00 AM,2024,01,01,01,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Astana,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
