,embassy_sensor,B21
0,35.0,22.26
1,28.0,19.080000000000002
2,24.0,15.105
3,24.0,11.13
4,22.0,8.745000000000001
5,23.0,8.48
6,22.0,9.805
7,28.0,10.865
8,27.0,11.925
9,21.0,15.105
10,21.0,13.25
11,21.0,12.72
12,17.0,16.165
13,21.0,19.875
14,23.0,12.190000000000001
15,20.0,18.02
16,11.0,16.165
17,11.0,7.6850000000000005
18,19.0,6.36
19,15.0,7.6850000000000005
20,16.0,7.95
21,14.0,8.48
22,15.0,8.48
23,16.0,7.6850000000000005
24,20.0,6.36
25,15.0,5.035
26,15.0,3.71
27,13.0,5.035
28,16.0,6.625
29,16.0,8.215
30,16.0,9.01
31,17.0,9.01
32,11.0,8.48
33,14.0,6.36
34,16.0,9.01
35,17.0,8.215
36,22.0,10.335
37,14.0,14.84
38,13.0,11.13
39,21.0,9.540000000000001
40,23.0,20.405
41,19.0,20.14
42,31.0,17.755000000000003
43,27.0,21.73
44,33.0,19.875
45,41.0,19.080000000000002
46,52.0,33.39
47,53.0,30.21
48,27.0,21.465
49,26.0,16.43
50,28.0,13.515
51,28.0,10.07
52,27.0,14.045
53,37.0,14.575000000000001
54,48.0,23.32
55,47.0,27.03
56,48.0,38.955000000000005
57,61.0,66.78
58,59.0,62.010000000000005
59,77.0,20.405
60,134.0,126.67
61,132.0,201.4
62,162.0,272.95
63,156.0,139.125
64,211.0,228.16500000000002
65,131.0,133.03
66,81.0,151.58
67,35.0,71.815
68,24.0,40.28
69,28.0,23.85
70,29.0,38.160000000000004
71,25.0,23.85
72,18.0,13.25
73,11.0,6.890000000000001
74,21.0,4.7700000000000005
75,15.0,3.71
76,14.0,6.890000000000001
77,18.0,7.95
78,22.0,14.045
79,31.0,17.755000000000003
80,37.0,28.885
81,38.0,30.740000000000002
82,54.0,37.365
83,68.0,96.19500000000001
84,77.0,162.18
85,94.0,190.8
86,132.0,201.93
87,187.0,195.305
88,167.0,190.005
89,178.0,226.84
90,244.0,183.91
91,138.0,133.29500000000002
92,79.0,69.43
93,87.0,44.785000000000004
94,118.0,70.75500000000001
95,75.0,101.23
96,64.0,54.325
97,57.0,46.905
98,22.0,40.81
99,21.0,8.48
100,26.0,7.95
101,28.0,11.13
102,20.0,12.455
103,38.0,10.600000000000001
104,35.0,12.72
105,56.0,16.165
106,45.0,23.32
107,48.0,29.150000000000002
108,38.0,34.715
109,33.0,29.68
110,30.0,16.96
111,30.0,20.14
112,49.0,32.595
113,56.0,36.305
114,36.0,31.270000000000003
115,28.0,14.84
116,22.0,10.07
117,33.0,9.805
118,41.0,14.575000000000001
119,46.0,18.55
120,38.0,21.200000000000003
121,41.0,18.55
122,31.0,19.345000000000002
