Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC+06:00,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,Fahrenheit,Celsius,%,,,
12/31/2023 00:03:26,12/31/2023 06:03:26,13,14,,15,15,,125,141,142,142,142,0,42.4,,41,,0,0
12/31/2023 01:03:26,12/31/2023 07:03:26,11,12,,12,13,,107,121,122,122,122,0,42.4,,41,,0,0
12/31/2023 02:03:26,12/31/2023 08:03:26,10,11,,12,12,,100,112,113,113,113,0,42.1,,42,,0,0
12/31/2023 03:03:26,12/31/2023 09:03:26,10,11,,11,11,,94,105,106,106,106,0,42.3,,42,,0,0
12/31/2023 04:03:26,12/31/2023 10:03:26,9,10,,10,10,,87,98,99,99,99,0,43.5,,41,,0,0
12/31/2023 05:03:26,12/31/2023 11:03:26,8,9,,9,9,,79,89,89,89,90,0,45.7,,40,,0,0
12/31/2023 06:03:26,12/31/2023 12:03:26,8,8,,8,8,,70,79,80,80,80,0,46.6,,40,,0,0
12/31/2023 07:03:26,12/31/2023 13:03:26,6,7,,7,7,,60,67,68,68,68,0,46.8,,41,,0,0
12/31/2023 08:03:26,12/31/2023 14:03:26,6,6,,6,7,,55,62,62,62,62,0,47.8,,41,,0,0
12/31/2023 09:03:26,12/31/2023 15:03:26,7,7,,7,7,,61,69,69,70,70,0,48.7,,41,,0,0
12/31/2023 10:03:26,12/31/2023 16:03:26,7,8,,8,8,,66,75,75,75,75,0,48.9,,41,,0,0
12/31/2023 11:03:26,12/31/2023 17:03:26,10,11,,11,11,,94,106,107,107,107,0,48.9,,41,,0,0
12/31/2023 12:03:26,12/31/2023 18:03:26,13,14,,14,14,,119,134,134,134,135,0,48.9,,41,,0,0
12/31/2023 13:03:26,12/31/2023 19:03:26,15,16,,17,17,,140,158,158,158,158,0,48.6,,41,,0,0
12/31/2023 14:03:26,12/31/2023 20:03:26,16,18,,18,18,,151,170,170,170,171,0,48.4,,41,,0,0
12/31/2023 15:03:26,12/31/2023 21:03:26,16,18,,18,18,,152,171,172,172,172,0,47.3,,41,,0,0
12/31/2023 16:03:26,12/31/2023 22:03:26,17,19,,19,19,,160,180,181,181,181,0,47.1,,41,,0,0
12/31/2023 17:03:26,12/31/2023 23:03:26,19,20,,20,21,,175,196,197,197,198,0,47.1,,41,,0,0
12/31/2023 18:03:26,01/01/2024 00:03:26,23,24,,25,25,,213,239,240,241,241,0,46.4,,41,,0,0
12/31/2023 19:03:26,01/01/2024 01:03:26,35,38,,38,38,,334,375,376,376,376,0,46.0,,41,,0,0
12/31/2023 20:03:26,01/01/2024 02:03:26,36,38,,38,38,,339,380,381,381,381,0,45.7,,41,,0,0
12/31/2023 21:03:26,01/01/2024 03:03:26,34,36,,36,36,,318,357,358,358,358,0,45.3,,41,,0,0
12/31/2023 22:03:26,01/01/2024 04:03:26,31,33,,33,33,,294,329,330,330,330,0,45.1,,41,,0,0
12/31/2023 23:03:26,01/01/2024 05:03:26,28,29,,30,30,,261,293,294,294,294,0,45.1,,41,,0,0
01/01/2024 00:03:26,01/01/2024 06:03:26,24,26,,26,26,,231,258,259,259,259,0,44.8,,41,,0,0
01/01/2024 01:03:26,01/01/2024 07:03:26,21,23,,23,23,,204,229,230,230,230,0,44.4,,41,,0,0
01/01/2024 02:03:26,01/01/2024 08:03:26,19,21,,21,21,,185,208,208,208,209,0,44.1,,41,,0,0
01/01/2024 03:03:26,01/01/2024 09:03:26,17,19,,19,19,,166,186,186,186,186,0,44.1,,41,,0,0
01/01/2024 04:03:26,01/01/2024 10:03:26,16,17,,18,18,,156,174,175,175,175,0,45.3,,40,,0,0
01/01/2024 05:03:26,01/01/2024 11:03:26,14,15,,15,16,,136,152,152,153,153,0,47.1,,40,,0,0
01/01/2024 06:03:26,01/01/2024 12:03:26,12,13,,13,13,,116,130,130,130,130,0,48.9,,40,,0,0
01/01/2024 07:03:26,01/01/2024 13:03:26,11,12,,12,12,,102,114,115,115,115,0,49.5,,40,,0,0
01/01/2024 08:03:26,01/01/2024 14:03:26,10,10,,10,10,,89,100,100,100,100,0,50.0,,40,,0,0
01/01/2024 09:03:26,01/01/2024 15:03:26,9,9,,9,9,,81,90,91,91,91,0,50.0,,41,,0,0
01/01/2024 10:03:26,01/01/2024 16:03:26,9,9,,9,9,,79,89,89,89,89,0,50.5,,41,,0,0
01/01/2024 11:03:26,01/01/2024 17:03:26,8,9,,9,9,,76,85,86,86,86,0,51.1,,40,,0,0
01/01/2024 12:03:26,01/01/2024 18:03:26,9,10,,10,10,,82,92,93,93,93,0,52.3,,39,,0,0
01/01/2024 13:03:26,01/01/2024 19:03:26,10,11,,11,11,,94,105,105,105,105,0,50.7,,40,,0,0
01/01/2024 14:03:26,01/01/2024 20:03:26,11,12,,12,12,,103,115,116,116,116,0,50.5,,40,,0,0
01/01/2024 15:03:26,01/01/2024 21:03:26,11,12,,12,12,,103,116,116,116,116,0,50.0,,40,,0,0
01/01/2024 16:03:26,01/01/2024 22:03:26,10,11,,11,11,,96,108,108,108,108,0,49.8,,40,,0,0
01/01/2024 17:03:26,01/01/2024 23:03:26,10,10,,10,10,,89,100,100,100,101,0,49.5,,40,,0,0
01/01/2024 18:03:26,01/02/2024 00:03:26,9,10,,10,10,,83,93,93,93,93,0,49.5,,40,,0,0
01/01/2024 19:03:26,01/02/2024 01:03:26,9,9,,9,9,,79,88,89,89,89,0,49.5,,40,,0,0
01/01/2024 20:03:26,01/02/2024 02:03:26,8,9,,9,9,,74,83,83,84,84,0,48.7,,40,,0,0
01/01/2024 21:03:26,01/02/2024 03:03:26,7,8,,8,8,,69,78,78,78,78,0,48.9,,40,,0,0
01/01/2024 22:03:26,01/02/2024 04:03:26,7,7,,7,8,,64,72,72,72,72,0,49.3,,39,,0,0
01/01/2024 23:03:26,01/02/2024 05:03:26,6,7,,7,7,,59,66,66,66,66,0,48.9,,39,,0,0
01/02/2024 00:03:26,01/02/2024 06:03:26,6,6,,6,6,,54,61,61,61,61,0,48.0,,40,,0,0
01/02/2024 01:03:26,01/02/2024 07:03:26,6,6,,6,6,,51,57,58,58,58,0,48.9,,39,,0,0
01/02/2024 02:03:26,01/02/2024 08:03:26,5,6,,6,6,,50,56,56,56,56,0,48.0,,40,,0,0
01/02/2024 03:03:26,01/02/2024 09:03:26,5,5,,6,6,,47,53,53,53,53,0,48.6,,40,,0,0
01/02/2024 04:03:26,01/02/2024 10:03:26,6,6,,6,6,,52,58,58,58,58,0,49.5,,39,,0,0
01/02/2024 05:03:26,01/02/2024 11:03:26,6,7,,7,7,,57,64,64,64,64,0,49.5,,39,,0,0
01/02/2024 06:03:26,01/02/2024 12:03:26,7,7,,7,7,,62,69,70,70,70,0,49.6,,40,,0,0
01/02/2024 07:03:26,01/02/2024 13:03:26,8,8,,8,8,,69,78,78,78,78,0,49.8,,40,,0,0
01/02/2024 08:03:26,01/02/2024 14:03:26,12,13,,13,13,,113,127,127,128,128,0,50.5,,40,,0,0
01/02/2024 09:03:26,01/02/2024 15:03:26,18,20,,20,20,,169,190,191,191,191,0,50.5,,41,,0,0
01/02/2024 10:03:26,01/02/2024 16:03:26,18,20,,20,20,,169,190,191,191,191,0,51.1,,41,,0,0
01/02/2024 11:03:26,01/02/2024 17:03:26,18,20,,20,20,,169,190,190,190,191,0,51.4,,41,,0,0
01/02/2024 12:03:26,01/02/2024 18:03:26,19,21,,21,21,,176,198,198,198,198,0,51.3,,41,,0,0
01/02/2024 13:03:26,01/02/2024 19:03:26,21,22,,23,23,,190,214,215,215,215,0,51.3,,40,,0,0
01/02/2024 14:03:26,01/02/2024 20:03:26,24,26,,26,26,,220,247,248,249,249,0,50.7,,40,,0,0
