S,Temperature offset,Temperature offset std,Relative Humidity offset,Relative Humidity offset std
B0,-0.25,0.48,5.39,3.62
B1,0.04,0.56,0.4,3.1
B2,0.62,0.48,-3.55,2.64
B3,0.43,0.41,-5.68,3.86
B4,0.05,0.48,0.09,1.92
B5,-0.14,0.57,1.35,2.22
B6,0.53,0.8,-2.65,2.9
B7,0.64,0.54,-3.59,2.49
B8,-0.31,0.47,0.03,1.74
B9,0.08,0.47,-0.16,2.38
B10,0.13,0.55,-3.94,3.03
B11,-0.24,0.53,2.99,6.47
B12,0.43,0.24,-2.62,1.65
B13,0.3,0.64,-2.75,2.24
B14,-0.3,0.54,0.33,1.64
B15,-0.38,0.47,1.47,2.13
B16,0.39,0.66,-2.51,3.13
B17,-0.05,0.54,0.39,1.97
B18,0.12,0.38,-3.23,2.77
B19,-0.22,0.49,0.06,1.51
B20,0.01,0.63,1.26,1.58
B21,-0.1,0.66,0.76,1.86
B22,0.69,0.82,0.58,1.86
